Timestamp(ms),Current(uA)
42113.43,390.639
42113.44,391.984
42113.45,392.432
42113.46,388.399
42113.47,387.056
42113.48,382.129
42113.49,377.652
42113.5,372.282
42113.51,368.703
42113.52,367.809
42113.53,362.889
42113.54,358.866
42113.55,357.078
42113.56,352.610
42113.57,352.610
42113.58,351.716
42113.59,355.290
42113.6,356.631
42113.61,355.737
42113.62,352.163
42113.63,350.823
42113.64,349.036
42113.65,348.589
42113.66,347.696
42113.67,346.356
42113.68,350.376
42113.69,348.143
42113.7,349.929
42113.71,353.056
42113.72,350.823
42113.73,350.376
42113.74,349.036
42113.75,352.610
42113.76,350.823
42113.77,350.823
42113.78,354.397
42113.79,356.631
42113.8,359.760
42113.81,361.548
42113.82,362.442
42113.83,360.654
42113.84,363.336
42113.85,361.548
42113.86,364.231
42113.87,366.467
42113.88,364.678
42113.89,368.256
42113.9,371.387
42113.91,375.862
42113.92,377.652
42113.93,381.682
42113.94,378.548
42113.95,378.995
42113.96,379.891
42113.97,383.473
42113.98,387.056
42113.99,388.399
42114,389.743
42114.01,391.536
42114.02,390.191
42114.03,388.399
42114.04,390.639
42114.05,391.087
42114.06,392.880
42114.07,393.328
42114.08,394.224
42114.09,394.672
42114.1,397.810
42114.11,399.155
42114.12,399.155
42114.13,397.810
42114.14,395.569
42114.15,396.914
42114.16,396.465
42114.17,396.465
42114.18,394.224
42114.19,389.295
42114.2,387.056
42114.21,387.056
42114.22,384.816
42114.23,385.264
42114.24,382.577
42114.25,380.338
42114.26,375.862
42114.27,374.520
42114.28,373.625
42114.29,371.835
42114.3,370.493
42114.31,367.361
42114.32,366.914
42114.33,366.914
42114.34,364.678
42114.35,364.678
42114.36,367.361
42114.37,364.231
42114.38,363.336
42114.39,362.889
42114.4,360.207
42114.41,360.207
42114.42,361.101
42114.43,361.548
42114.44,359.760
42114.45,360.207
42114.46,358.419
42114.47,361.995
42114.48,362.442
42114.49,362.442
42114.5,361.548
42114.51,366.020
42114.52,367.361
42114.53,365.125
42114.54,365.572
42114.55,366.020
42114.56,370.940
42114.57,369.598
42114.58,370.493
42114.59,371.387
42114.6,371.835
42114.61,377.205
42114.62,380.338
42114.63,381.682
