Timestamp(ms),Current(uA)
38348.44,390.639
38348.45,392.432
38348.46,389.295
38348.47,388.847
38348.48,385.712
38348.49,385.712
38348.5,385.264
38348.51,382.577
38348.52,382.129
38348.53,383.025
38348.54,384.816
38348.55,384.368
38348.56,386.608
38348.57,385.712
38348.58,381.682
38348.59,379.891
38348.6,379.443
38348.61,378.548
38348.62,376.757
38348.63,377.205
38348.64,381.682
38348.65,378.100
38348.66,379.891
38348.67,382.129
38348.68,383.473
38348.69,382.577
38348.7,382.577
38348.71,383.473
38348.72,383.025
38348.73,381.234
38348.74,379.891
38348.75,375.862
38348.76,372.282
38348.77,370.493
38348.78,366.467
38348.79,365.125
38348.8,367.361
38348.81,366.914
38348.82,366.914
38348.83,366.914
38348.84,370.045
38348.85,370.045
38348.86,368.703
38348.87,366.020
38348.88,365.125
38348.89,367.809
38348.9,370.940
38348.91,371.387
38348.92,373.625
38348.93,376.757
38348.94,378.995
38348.95,381.682
38348.96,383.025
38348.97,380.338
38348.98,378.995
38348.99,380.338
38349,382.577
38349.01,383.920
38349.02,384.368
38349.03,383.920
38349.04,385.712
38349.05,386.608
38349.06,386.160
38349.07,387.504
38349.08,394.224
38349.09,397.362
38349.1,398.258
38349.11,397.810
38349.12,398.258
38349.13,400.500
38349.14,401.845
38349.15,403.191
38349.16,404.536
38349.17,406.330
38349.18,406.330
38349.19,410.368
38349.2,409.022
38349.21,409.919
38349.22,410.368
38349.23,410.817
38349.24,408.573
38349.25,406.779
38349.26,404.984
38349.27,402.294
38349.28,400.948
38349.29,400.948
38349.3,399.155
38349.31,401.397
38349.32,402.742
38349.33,403.191
38349.34,401.397
38349.35,396.914
38349.36,395.121
38349.37,394.224
38349.38,394.224
38349.39,392.432
38349.4,392.432
38349.41,392.432
38349.42,389.295
38349.43,387.951
38349.44,385.264
38349.45,380.786
38349.46,377.205
38349.47,377.205
38349.48,381.682
38349.49,380.786
38349.5,377.652
38349.51,377.205
38349.52,371.835
38349.53,368.703
38349.54,365.572
38349.55,363.784
38349.56,361.548
38349.57,358.866
38349.58,357.078
38349.59,357.078
38349.6,355.737
38349.61,353.056
38349.62,351.269
38349.63,349.482
38349.64,349.482
38349.65,348.589
38349.66,346.356
38349.67,347.696
38349.68,349.482
38349.69,349.482
38349.7,349.482
38349.71,349.929
38349.72,352.610
38349.73,353.503
38349.74,354.844
38349.75,355.737
38349.76,354.397
38349.77,356.184
38349.78,358.419
38349.79,361.101
38349.8,361.548
38349.81,365.572
38349.82,367.361
38349.83,370.940
38349.84,372.282
38349.85,373.177
38349.86,375.415
38349.87,377.652
38349.88,375.862
38349.89,376.757
38349.9,379.891
38349.91,381.234
38349.92,383.920
38349.93,385.264
38349.94,392.432
38349.95,394.224
38349.96,396.465
38349.97,397.362
38349.98,400.052
38349.99,402.742
38350,400.948
38350.01,401.845
38350.02,402.742
38350.03,402.742
38350.04,404.536
38350.05,404.984
38350.06,402.742
38350.07,402.742
38350.08,401.397
38350.09,401.397
38350.1,400.948
38350.11,397.362
38350.12,395.569
38350.13,392.432
38350.14,392.432
38350.15,394.224
38350.16,395.569
38350.17,396.914
38350.18,393.776
38350.19,393.328
38350.2,390.639
38350.21,388.847
38350.22,388.399
38350.23,388.847
38350.24,391.087
38350.25,390.639
38350.26,393.776
38350.27,390.639
38350.28,387.056
38350.29,383.025
38350.3,383.920
38350.31,383.025
38350.32,380.338
38350.33,378.100
38350.34,379.891
38350.35,379.443
38350.36,379.891
38350.37,379.443
38350.38,379.891
38350.39,376.757
38350.4,373.625
38350.41,372.282
38350.42,371.835
38350.43,369.598
38350.44,367.361
38350.45,365.125
38350.46,366.467
38350.47,367.809
38350.48,370.045
38350.49,370.940
38350.5,370.493
38350.51,366.914
38350.52,363.336
38350.53,360.207
38350.54,360.654
38350.55,358.866
38350.56,362.889
38350.57,364.678
38350.58,365.125
38350.59,366.914
38350.6,368.703
38350.61,370.493
38350.62,370.940
38350.63,368.256
38350.64,369.150
38350.65,368.256
38350.66,367.809
38350.67,370.493
38350.68,369.598
38350.69,372.730
38350.7,374.520
38350.71,378.100
38350.72,379.443
38350.73,378.548
38350.74,379.443
38350.75,379.891
38350.76,385.264
38350.77,385.712
38350.78,386.160
38350.79,386.608
38350.8,389.743
38350.81,388.847
38350.82,391.536
38350.83,392.880
38350.84,394.672
38350.85,392.432
38350.86,395.569
38350.87,397.810
38350.88,397.810
38350.89,397.362
38350.9,399.603
38350.91,396.017
38350.92,396.914
38350.93,397.362
38350.94,396.914
38350.95,396.914
38350.96,395.569
38350.97,396.914
38350.98,400.500
38350.99,403.191
38351,402.294
38351.01,401.845
38351.02,400.948
38351.03,398.258
38351.04,396.017
38351.05,392.432
38351.06,391.984
38351.07,391.536
38351.08,390.191
38351.09,389.295
38351.1,391.087
38351.11,388.847
38351.12,388.847
38351.13,386.608
38351.14,387.056
38351.15,390.639
38351.16,390.191
38351.17,388.847
38351.18,386.160
38351.19,385.264
38351.2,381.682
38351.21,382.577
38351.22,380.786
38351.23,378.995
38351.24,377.652
38351.25,377.652
38351.26,375.862
38351.27,376.310
38351.28,375.862
38351.29,376.310
38351.3,371.387
38351.31,369.150
38351.32,368.256
38351.33,365.572
38351.34,364.678
38351.35,363.784
38351.36,362.889
38351.37,364.678
38351.38,362.442
38351.39,363.336
38351.4,364.231
38351.41,362.889
38351.42,362.889
38351.43,362.442
38351.44,360.654
38351.45,361.995
38351.46,364.231
38351.47,362.442
38351.48,362.442
38351.49,362.889
38351.5,363.336
38351.51,363.784
38351.52,367.809
38351.53,367.809
38351.54,368.703
38351.55,369.598
38351.56,372.282
38351.57,370.493
38351.58,371.835
38351.59,372.282
38351.6,371.387
38351.61,375.862
38351.62,375.862
38351.63,376.757
38351.64,374.072
38351.65,375.862
38351.66,375.862
38351.67,378.548
38351.68,382.577
38351.69,380.786
38351.7,381.234
38351.71,380.338
38351.72,378.548
38351.73,378.995
38351.74,376.757
38351.75,375.862
38351.76,375.415
38351.77,374.520
38351.78,374.520
38351.79,374.072
38351.8,379.891
38351.81,380.786
38351.82,381.234
38351.83,378.100
38351.84,376.757
38351.85,378.100
38351.86,381.234
38351.87,383.473
38351.88,381.234
38351.89,379.443
38351.9,379.891
38351.91,379.443
38351.92,378.100
38351.93,379.891
38351.94,381.234
38351.95,377.652
38351.96,375.415
38351.97,378.100
38351.98,377.205
38351.99,376.757
38352,376.310
38352.01,376.310
38352.02,377.652
38352.03,378.995
38352.04,378.995
38352.05,378.548
38352.06,378.548
38352.07,379.443
38352.08,376.757
38352.09,378.548
38352.1,376.310
38352.11,375.862
38352.12,375.862
38352.13,380.338
38352.14,383.025
38352.15,383.920
38352.16,382.577
38352.17,379.891
38352.18,379.891
38352.19,377.205
38352.2,378.548
38352.21,377.205
38352.22,377.652
38352.23,378.995
38352.24,374.967
38352.25,371.835
38352.26,371.387
38352.27,370.045
38352.28,370.940
38352.29,373.625
38352.3,374.072
38352.31,374.072
38352.32,372.730
38352.33,374.520
38352.34,374.520
38352.35,373.625
38352.36,371.835
38352.37,370.940
38352.38,372.282
38352.39,373.177
38352.4,375.415
38352.41,374.967
38352.42,373.177
38352.43,376.310
38352.44,376.310
38352.45,376.310
38352.46,377.652
38352.47,380.338
38352.48,383.473
38352.49,383.473
38352.5,378.548
38352.51,378.548
38352.52,377.652
38352.53,377.205
38352.54,378.548
38352.55,376.757
38352.56,380.786
38352.57,378.548
38352.58,379.443
